Predicate,no predicates,GT,GT Pred CLS,GT Neg,Baseline,Base Pred CLS,Base Neg,Base BLEURT,Base BART,Base BERT,Base BLEU4,Base Meteor,Base Other COCO,After Constrain,Cons Pred CLS,Cons Neg,Cons BLEURT,Cons BART,Cons BERT,Cons BLEU4,Cons Meteor,Cons Other COCO,Cons-Baseline CLS Gap,GT-Baseline CLS Gap,GT-Cons CLS Gap,Cons-Base BLEURT gap,Cons-Base BART gap,Cons-Baseline BERT Gap,Cons-Baseline BLEU Gap,Cons-Baseline METEOR Gap
"{'predicate: runway length, subject: ardmore airport (new zealand), object: 518.0, sentence: ', 'predicate: elevation above the sea level_(in_metres), subject: ardmore airport (new zealand), object: 34.0, sentence: ', 'predicate: 3rd_runway_Surface type, subject: ardmore airport (new zealand), object: poaceae, sentence: '}",3,The 3rd runway at Ardmore Airport in New Zealand (which is 34 meters above sea level) is made of Poaceae and has a length of 518.0.,0.998707374,,ardmore airport in new zealand is 34 meters above sea level and has a runway length of 518.0. its 3rd runway surface type is poaceae,0.999606828,,0.656916916,-1.828043461,0.94721234,0.573506797,0.433885805,"{'image_id': 'inst-898', 'Bleu_1': 0.9199999999632, 'Bleu_2': 0.8072587358545259, 'Bleu_3': 0.6979532046617737, 'Bleu_4': 0.5735067965608598, 'METEOR': 0.43388580513555647, 'ROUGE_L': 0.6720674011665586, 'CIDEr': 2.8567775737536243}",ardmore airport in new zealand is 34 meters above sea level and has a runway length of 518.0. its 3rd runway surface type is poaceae,0.999606828,,0.656916916,-1.828043818,0.94721234,0.573506797,0.433885805,"{'image_id': 'inst-898', 'Bleu_1': 0.9199999999632, 'Bleu_2': 0.8072587358545259, 'Bleu_3': 0.6979532046617737, 'Bleu_4': 0.5735067965608598, 'METEOR': 0.43388580513555647, 'ROUGE_L': 0.6720674011665586, 'CIDEr': 2.8567775737536243}",0,-0.000899454,-0.000899454,0,-3.58E-07,0,0,0
"{'predicate: country, subject: amdavad ni gufa, object: india, sentence: ', 'predicate: leader name, subject: india, object: t. s. thakur, sentence: '}",2,T S Thakur is the leader of India; also the location of Amdavad ni Gufa.,0.999931693,,amdavad ni gufa is located in india which is led by t s thakur,0.999933004,,0.656963944,-2.512076378,0.91767967,3.76E-05,0.363311654,"{'image_id': 'inst-596', 'Bleu_1': 0.5320358740405796, 'Bleu_2': 0.3904075975431099, 'Bleu_3': 0.2870481455547405, 'Bleu_4': 3.761513537918254e-05, 'METEOR': 0.3633116539149661, 'ROUGE_L': 0.20561797752808988, 'CIDEr': 3.7607725716364238}",amdavad ni gufa is located in india which is led by t s thakur,0.999933004,,0.656963944,-2.512076378,0.91767967,3.76E-05,0.363311654,"{'image_id': 'inst-596', 'Bleu_1': 0.5320358740405796, 'Bleu_2': 0.3904075975431099, 'Bleu_3': 0.2870481455547405, 'Bleu_4': 3.761513537918254e-05, 'METEOR': 0.3633116539149661, 'ROUGE_L': 0.20561797752808988, 'CIDEr': 3.7607725716364238}",0,-1.31E-06,-1.31E-06,0,0,0,0,0
"{'predicate: power type, subject: aidaluna, object: caterpillar inc., sentence: ', 'predicate: location, subject: caterpillar inc., object: peoria, illinois, sentence: ', 'predicate: foundation place, subject: caterpillar inc., object: united states, sentence: '}",3,"Caterpillar Inc. was founded in the US and is located in Peoria, Illinois and their engine powers the AIDAluna.",0.999551932,,"the power type of the aidaluna is the caterpillar inc. engine. caterpillar inc. was founded in the united states and is located in peoria, illinois",0.999735733,,0.661680937,-1.641032696,0.95010626,0.629346968,0.482796126,"{'image_id': 'inst-1059', 'Bleu_1': 0.8399999999664, 'Bleu_2': 0.7937253932869667, 'Bleu_3': 0.7265188993877154, 'Bleu_4': 0.6293469682514022, 'METEOR': 0.4827961260397895, 'ROUGE_L': 0.6887791107974595, 'CIDEr': 3.6335500656732185}","aidaluna is powered by caterpillar inc. which was founded in the united states and is located in peoria, illinois",0.999025265,,0.657486916,-2.456637621,0.94118774,0.536033031,0.407764922,"{'image_id': 'inst-1059', 'Bleu_1': 0.8421052630692519, 'Bleu_2': 0.7492686491853894, 'Bleu_3': 0.64166063396939, 'Bleu_4': 0.536033031212187, 'METEOR': 0.40776492159137345, 'ROUGE_L': 0.7221783741120757, 'CIDEr': 3.6399759057487424}",-0.000710467,-0.000183801,0.000526667,-0.004194021,-0.815604925,-0.008918524,-0.093313937,-0.075031204
"{'predicate: language, subject: indonesia, object: indonesian language, sentence: ', 'predicate: leader name, subject: indonesia, object: joko widodo, sentence: ', 'predicate: region, subject: arem-arem, object: nationwide in indonesia, but more specific to java, sentence: ', 'predicate: country, subject: arem-arem, object: indonesia, sentence: ', 'predicate: leader name, subject: indonesia, object: jusuf kalla, sentence: '}",5,Indonesian language is the language spoken in Indonesia where the leaders are Joko Widodo and Jusuf Kalla. Arem-arem is a food found in Indonesia but is more specific to Java.,0.999837657,,"arem-arem is a food found nationwide in indonesia, but is more specific to java. joko widodo and jusuf kalla are leaders in indonesia, where the language is indonesian",0.999923992,,0.658602476,-1.981114864,0.9332592,0.613109676,0.481606333,"{'image_id': 'inst-1518', 'Bleu_1': 0.9310627796375183, 'Bleu_2': 0.8404433087663671, 'Bleu_3': 0.72394333611792, 'Bleu_4': 0.6131096762360894, 'METEOR': 0.4816063328939436, 'ROUGE_L': 0.4455056179775281, 'CIDEr': 3.4511908005142593}","arem-arem is a food found nationwide in indonesia, but is more specific to java. joko widodo and jusuf kalla are leaders in indonesia, where the language is indonesian",0.999923992,,0.658602476,-1.981114864,0.9332593,0.613109676,0.481606333,"{'image_id': 'inst-1518', 'Bleu_1': 0.9310627796375183, 'Bleu_2': 0.8404433087663671, 'Bleu_3': 0.72394333611792, 'Bleu_4': 0.6131096762360894, 'METEOR': 0.4816063328939436, 'ROUGE_L': 0.4455056179775281, 'CIDEr': 3.4511908005142593}",0,-8.63E-05,-8.63E-05,0,0,1.19E-07,0,0
"{'predicate: youthclub, subject: aaron hunt, object: goslarer sc 08, sentence: ', 'predicate: club, subject: aaron hunt, object: hamburger sv, sentence: ', 'predicate: club, subject: aaron hunt, object: vfl wolfsburg, sentence: '}",3,"Aaron Hunt, who plays for Vfl Wolfsburg, has previously payed for both, the Goslarer SC 08 youth team and Hamburger SV.",0.993527002,,"aaron hunt's former clubs include vfl wolfsburg, goslarer sc 08 and hamburger sv",0.67932663,"[""predicate: youthclub, subject: aaron hunt, object: goslarer sc 08, sentence: aaron hunt's former clubs include vfl wolfsburg, goslarer sc 08 and hamburger sv""]",0.615216672,-2.480682373,0.90870994,3.38E-05,0.303315797,"{'image_id': 'inst-931', 'Bleu_1': 0.4765598039918464, 'Bleu_2': 0.394514007341625, 'Bleu_3': 0.2868396656512984, 'Bleu_4': 3.377492739912541e-05, 'METEOR': 0.30331579701262457, 'ROUGE_L': 0.5515370705244123, 'CIDEr': 1.3941446715605534}","aaron hunt played for vfl wolfsburg, goslarer sc 08 youth team and hamburger sv",0.994227231,,0.658787072,-1.954367757,0.9282532,0.41743477,0.419460021,"{'image_id': 'inst-931', 'Bleu_1': 0.6065306596259863, 'Bleu_2': 0.5579270597286848, 'Bleu_3': 0.4793375678251954, 'Bleu_4': 0.41743476992767636, 'METEOR': 0.41946002127955384, 'ROUGE_L': 0.716998191681736, 'CIDEr': 2.2140941030544634}",0.314900601,0.314200372,-0.000700229,0.043570399,0.526314616,0.01954323,0.417400995,0.116144224
"{'predicate: currency, subject: spain, object: euro, sentence: ', 'predicate: country, subject: ajoblanco, object: spain, sentence: ', 'predicate: language, subject: spain, object: spanish language, sentence: ', 'predicate: ethnic group, subject: spain, object: spaniards, sentence: ', 'predicate: leader name, subject: spain, object: felipe vi of spain, sentence: '}",5,"Ajoblanco is from Spain where Felipe VI of Spain is the leader. In this country, where the currency is the euro, the Spaniards are the ethnic group and the language is Spanish.",0.999932806,,"ajoblanco is a dish from spain, where the leader is felipe vi and spanish is the language spoken. spaniards are the main ethnic group and the currency used is the euro",0.999934888,,0.683984101,-2.13683033,0.9351595,0.420240833,0.450915321,"{'image_id': 'inst-1538', 'Bleu_1': 0.9057885043665107, 'Bleu_2': 0.7835336860422026, 'Bleu_3': 0.6086489040270161, 'Bleu_4': 0.4202408327416397, 'METEOR': 0.45091532113607224, 'ROUGE_L': 0.5381421899325376, 'CIDEr': 3.3249418990204815}","ajoblanco originates from spain, where spanish is spoken and the currency is the euro. the leader of spain is felipe vi and spaniards are an ethnic group",0.999933624,,0.65883714,-2.022321224,0.9305435,0.36436285,0.368965665,"{'image_id': 'inst-1538', 'Bleu_1': 0.8942102056086766, 'Bleu_2': 0.7148388501968016, 'Bleu_3': 0.5334971502852163, 'Bleu_4': 0.3643628503254413, 'METEOR': 0.36896566468007747, 'ROUGE_L': 0.5101553166069295, 'CIDEr': 3.0025442002728737}",-1.26E-06,-2.08E-06,-8.19E-07,-0.025146961,0.114509106,-0.004616022,-0.055877982,-0.081949656
"{'predicate: country, subject: campeonato brasileiro série c, object: brazil, sentence: ', 'predicate: number of members, subject: agremiação sportiva arapiraquense, object: 17000, sentence: ', 'predicate: league, subject: agremiação sportiva arapiraquense, object: campeonato brasileiro série c, sentence: ', 'predicate: season, subject: agremiação sportiva arapiraquense, object: 2015 campeonato brasileiro série c, sentence: ', 'predicate: champions, subject: campeonato brasileiro série c, object: vila nova futebol clube, sentence: '}",5,Agremiação Sportiva Arapiraquense (with 17000 members) play in Brazil's Campeonato Brasileiro Série C league and competed in the 2015 event. Vila Nova Futebol Clube are the champions of Série C.,0.999881975,,agremiaço sportiva arapiraquense play in the campeonato brasileiro série c league in brazil. they have 17000 members and competed in the 2015 campeonato brasileiro série c. the champions of the league are vila nova futebol clube,0.999887407,,0.658837795,-1.395214796,0.9518784,0.510541713,0.418460366,"{'image_id': 'inst-1578', 'Bleu_1': 0.805555555533179, 'Bleu_2': 0.7275747929493229, 'Bleu_3': 0.6292145906674171, 'Bleu_4': 0.510541712726454, 'METEOR': 0.4184603655224981, 'ROUGE_L': 0.646969696969697, 'CIDEr': 2.378834010155458}",agremiaço sportiva arapiraquense play in the campeonato brasileiro série c league in brazil. they have 17000 members and competed in the 2015 campeonato brasileiro série c. the champions of the league are vila nova futebol clube,0.999887407,,0.658837795,-1.395214796,0.9518784,0.510541713,0.418460366,"{'image_id': 'inst-1578', 'Bleu_1': 0.805555555533179, 'Bleu_2': 0.7275747929493229, 'Bleu_3': 0.6292145906674171, 'Bleu_4': 0.510541712726454, 'METEOR': 0.4184603655224981, 'ROUGE_L': 0.646969696969697, 'CIDEr': 2.378834010155458}",0,-5.43E-06,-5.43E-06,0,0,0,0,0
"{'predicate: abbreviation, subject: abhandlungen aus dem mathematischen seminar der universität hamburg, object: abh. math. semin. univ. hambg., sentence: ', 'predicate: LCCN_number, subject: abhandlungen aus dem mathematischen seminar der universität hamburg, object: 32024459, sentence: ', 'predicate: CODEN_code, subject: abhandlungen aus dem mathematischen seminar der universität hamburg, object: amhaaj, sentence: '}",3,Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg has the abbreviated form Abh. Math. Semin. Univ. Hambg. It also has the LCCN number 32024459 and the CODEN code AMHAAJ.,0.999441491,,abhandlungen aus dem mathematischen seminar der universität hamburg (abbreviating to abh. math. semin. univ. hambg.) has the lccn number 32024459 and the coden code amhaaj,0.999538402,,0.659068882,-1.082160711,0.9704689,0.833608292,0.520548162,"{'image_id': 'inst-1121', 'Bleu_1': 0.9279500574065757, 'Bleu_2': 0.9085289236534638, 'Bleu_3': 0.8742264465585216, 'Bleu_4': 0.8336082919074831, 'METEOR': 0.5205481623466583, 'ROUGE_L': 0.816172193135544, 'CIDEr': 5.228125652777366}",abhandlungen aus dem mathematischen seminar der universität hamburg (abbreviating to abh. math. semin. univ. hambg.) has the lccn number 32024459 and the coden code amhaaj,0.999538402,,0.659068882,-1.082160711,0.9704689,0.833608292,0.520548162,"{'image_id': 'inst-1121', 'Bleu_1': 0.9279500574065757, 'Bleu_2': 0.9085289236534638, 'Bleu_3': 0.8742264465585216, 'Bleu_4': 0.8336082919074831, 'METEOR': 0.5205481623466583, 'ROUGE_L': 0.816172193135544, 'CIDEr': 5.228125652777366}",0,-9.69E-05,-9.69E-05,0,0,0,0,0
"{'predicate: country, subject: campeonato brasileiro série c, object: brazil, sentence: ', 'predicate: number of members, subject: agremiação sportiva arapiraquense, object: 17000, sentence: ', 'predicate: league, subject: agremiação sportiva arapiraquense, object: campeonato brasileiro série c, sentence: ', 'predicate: ground, subject: agremiação sportiva arapiraquense, object: estádio municipal coaracy da mata fonseca, sentence: ', 'predicate: champions, subject: campeonato brasileiro série c, object: vila nova futebol clube, sentence: '}",5,"Agremiação Sportiva Arapiraquense, whose ground is Estádio Municipal Coaracy da Mata Fonseca, play in the Campeonato Brasileiro Série C league in Brazil. Agremiacao Sportiva Arapiraquense has 17000 members and Vila Nova Futebol Clube have been champions of Campeonato Brasileiro Série C.",0.999915779,,agremiaço sportiva arapiraquense play in the campeonato brasileiro série c league in brazil. their ground is the estadio municipal coaracy da mata fonseca and they have 17000 members. the champions of the league are vila nova futebol clube,0.999926066,,0.659095824,-1.364826202,0.9555342,0.602495482,0.451280114,"{'image_id': 'inst-1576', 'Bleu_1': 0.8971305491556918, 'Bleu_2': 0.7836086721140995, 'Bleu_3': 0.6808847204915374, 'Bleu_4': 0.6024954818427847, 'METEOR': 0.4512801135113497, 'ROUGE_L': 0.5104602510460251, 'CIDEr': 4.254561868428407}",agremiaço sportiva arapiraquense play in the campeonato brasileiro série c league in brazil. their ground is the estadio municipal coaracy da mata fonseca and they have 17000 members. the champions of the league are vila nova futebol clube,0.999926066,,0.659095824,-1.364826202,0.9555342,0.602495482,0.451280114,"{'image_id': 'inst-1576', 'Bleu_1': 0.8971305491556918, 'Bleu_2': 0.7836086721140995, 'Bleu_3': 0.6808847204915374, 'Bleu_4': 0.6024954818427847, 'METEOR': 0.4512801135113497, 'ROUGE_L': 0.5104602510460251, 'CIDEr': 4.254561868428407}",0,-1.03E-05,-1.03E-05,0,0,0,0,0
"{'predicate: main ingredients, subject: batagor, object: fried fish dumpling with tofu and vegetables in peanut sauce, sentence: ', 'predicate: country, subject: batagor, object: indonesia, sentence: ', 'predicate: ingredient, subject: batagor, object: peanut sauce, sentence: ', 'predicate: serving temperature, subject: batagor, object: hot, sentence: '}",4,"Batagor comes from the country of Indonesia. It is made using fried fish dumpling with tofu and vegetables in peanut sauce and should be served ""hot"".",0.999925002,,batagor is a fried fish dumpling with tofu and vegetables in peanut sauce. it is served hot in indonesia,0.999898121,,0.628871202,-2.180698395,0.9526582,0.600498175,0.402213149,"{'image_id': 'inst-1361', 'Bleu_1': 0.8421052631135734, 'Bleu_2': 0.7492686492248246, 'Bleu_3': 0.6673539523396026, 'Bleu_4': 0.6004981751852971, 'METEOR': 0.40221314912883277, 'ROUGE_L': 0.6937449228269699, 'CIDEr': 2.9223804909182096}","batagor is a hot dish from indonesia. its main ingredients are fried fish dumplings, tofu and vegetables in peanut sauce",0.999817386,,0.659309864,-2.380707502,0.9459113,0.317121418,0.363354097,"{'image_id': 'inst-1361', 'Bleu_1': 0.6999999999650001, 'Bleu_2': 0.5078333750509484, 'Bleu_3': 0.3855464024658222, 'Bleu_4': 0.3171214179204842, 'METEOR': 0.3633540967564986, 'ROUGE_L': 0.4672701949860724, 'CIDEr': 2.0284310954955553}",-8.07E-05,2.69E-05,0.000107616,0.030438662,-0.200009108,-0.006746888,-0.283376757,-0.038859052
"{'predicate: spoken in, subject: english language, object: great britain, sentence: ', 'predicate: country, subject: a wizard of mars, object: united states, sentence: ', 'predicate: language, subject: united states, object: english language, sentence: '}",3,"English is spoken in Great Britain and the US. The US is where ""A Wizard of Mars was published.",0.999932753,,a wizard of mars originates from the united states where the language is english (as spoken in great britain),0.999931614,,0.699228704,-2.600146294,0.94203657,0.581111708,0.436769967,"{'image_id': 'inst-1170', 'Bleu_1': 0.9523809522902494, 'Bleu_2': 0.7867957923935737, 'Bleu_3': 0.664361293481125, 'Bleu_4': 0.5811117075795968, 'METEOR': 0.4367699668426454, 'ROUGE_L': 0.5879518072289156, 'CIDEr': 4.013310450665857}",english is spoken in great britain and the united states. a wizard of mars originates from the united states,0.999931852,,0.659352422,-2.307827711,0.93443,0.840435018,0.432298195,"{'image_id': 'inst-1170', 'Bleu_1': 0.8947368420110802, 'Bleu_2': 0.8634894527025607, 'Bleu_3': 0.849958515862277, 'Bleu_4': 0.8404350177775554, 'METEOR': 0.43229819547806614, 'ROUGE_L': 0.6937449228269699, 'CIDEr': 5.189391601128492}",2.38E-07,1.14E-06,9.01E-07,-0.039876282,0.292318583,-0.007606566,0.25932331,-0.004471771
"{'predicate: main ingredients, subject: arrabbiata sauce, object: tomatoes, red chili, garlic, olive oil, sentence: ', 'predicate: ingredient, subject: arrabbiata sauce, object: chili pepper, sentence: ', 'predicate: region, subject: arrabbiata sauce, object: rome, sentence: ', 'predicate: country, subject: arrabbiata sauce, object: italy, sentence: ', 'predicate: dish variation, subject: arrabbiata sauce, object: basil, sentence: '}",5,"Arrabbiata sauce is a traditional dish from Rome in Italy and is made from tomatoes, red chili, garlic and olive oil. Basil can also be included in the sauce.",0.99989289,,"tomatoes, red chili, garlic, olive oil are the main ingredients of arrabbiata sauce, which can be found in rome, italy. a variation of arrabbiata sauce is basil",0.999917793,,0.541347027,-2.042103291,0.90935785,0.271503293,0.307588207,"{'image_id': 'inst-1521', 'Bleu_1': 0.6534613040986482, 'Bleu_2': 0.4583102154176483, 'Bleu_3': 0.3604016619441909, 'Bleu_4': 0.27150329311052146, 'METEOR': 0.30758820706000756, 'ROUGE_L': 0.35485747527632344, 'CIDEr': 2.79692373501206}","arrabbiata sauce is from rome, italy. its main ingredients are tomatoes, red chili, garlic and olive oil. it is a variation of basil sauce",0.999929595,,0.659528613,-1.82702601,0.93867624,0.378533784,0.33098499,"{'image_id': 'inst-1521', 'Bleu_1': 0.7083333332743056, 'Bleu_2': 0.582037899010841, 'Bleu_3': 0.4759112406661412, 'Bleu_4': 0.378533783933227, 'METEOR': 0.3309849899134599, 'ROUGE_L': 0.5565693430656935, 'CIDEr': 2.887186370870425}",1.18E-05,-2.49E-05,-3.67E-05,0.118181586,0.215077281,0.029318392,0.107030491,0.023396783
"{'predicate: birth place, subject: alberto teisaire, object: mendoza, argentina, sentence: ', 'predicate: successor, subject: alberto teisaire, object: isaac rojas, sentence: ', 'predicate: office (worked at, worked as), subject: alberto teisaire, object: provisional president of the argentine senate, sentence: ', 'predicate: in office while president, subject: alberto teisaire, object: juan perón, sentence: ', 'predicate: party, subject: juan perón, object: labour party (argentina), sentence: '}",5,"Alberto Teisaire, born in Mendoza, Argentina, was in office while Juan Peron, a member of the Labour Party in Argentina, was President. Alberto Teisaire worked as a Provisional President of the Argentine Senate and Isaac Rojas was his the successor.",0.998510432,,"alberto teisaire was born in mendoza, argentina and worked as a provisional president of the argentine senate. juan peron, a member of the labour party in argentina, was in office while teisaire was president. isaac rojas succeeded teisaire",0.999513233,,0.674790204,-1.122501254,0.9525181,0.699817439,0.488576111,"{'image_id': 'inst-1571', 'Bleu_1': 0.9736842105006926, 'Bleu_2': 0.8735890880134283, 'Bleu_3': 0.7754935567017299, 'Bleu_4': 0.6998174388227705, 'METEOR': 0.48857611137938795, 'ROUGE_L': 0.7217353198948291, 'CIDEr': 4.6280571910831085}","alberto teisaire was born in mendoza, argentina and worked as a provisional president of the argentine senate. juan peron was a member of the labour party in argentina and was in office while teisaire was president. isaac rojas succeeded teisaire",0.999429476,,0.659641385,-1.26365304,0.94933796,0.582055004,0.478785701,"{'image_id': 'inst-1571', 'Bleu_1': 0.9249999999537502, 'Bleu_2': 0.8002403484704871, 'Bleu_3': 0.671908186835783, 'Bleu_4': 0.5820550042681758, 'METEOR': 0.478785701381306, 'ROUGE_L': 0.7062607204116638, 'CIDEr': 3.7946505335673963}",-8.38E-05,-0.0010028,-0.000919044,-0.015148818,-0.141151786,-0.003180146,-0.117762435,-0.00979041
"{'predicate: genre, subject: andrew rayel, object: trance music, sentence: ', 'predicate: associated band/associated musical artist, subject: andrew rayel, object: armin van buuren, bobina, mark sixma, jonathan mendelsohn, christian burns, jwaydan, alexander popov, jano, alexandre bergheau, jonny rose, sylvia tosun, lira yin, alexandra badoi, sentence: ', 'predicate: associated band/associated musical artist, subject: andrew rayel, object: mark sixma, sentence: ', 'predicate: stylistic origin, subject: trance music, object: pop music, sentence: ', 'predicate: associated band/associated musical artist, subject: andrew rayel, object: jwaydan moyine, sentence: '}",5,"Andrew Rayel is associated with Jwaydan Moyine, Mark Sixma and many other artists: Armin Van Buuren, Bobina, Jonathan Mendelsohn, Christian Burns, Alexander Popov, Jano, Alexandre Bergheau, Jonny Rose, Sylvia Tosun, Lira Yin, and Alexandra Badoi. He performs trance which has its origin in pop music.",0.930836276,"['predicate: stylistic origin, subject: trance music, object: pop music, sentence: trance musician andrew rayel is associated with artists: armin van buuren, bobina, mark sixma, jonathan mendelsohn, christian burns, jwaydan moyine, alexander popov, jano, alexandre bergheau, jonny rose, sylvia tosun, lira yin and alexandra badoi and mark sima.']","andrew rayel is associated with the following musical artists: armin van buuren, bobina, mark sixma, jonathan mendelsohn, christian burns, jwaydan moyine, alexander popov, jano, alexandre bergheau, jonny rose, sylvia tosun, lira yin and alexandra badoi. he performs trance music which has its stylistic origins in pop music",0.998325169,,0.747270763,-0.739924908,0.98008156,0.778658862,0.555162927,"{'image_id': 'inst-1454', 'Bleu_1': 0.8936170212575827, 'Bleu_2': 0.8591887833128706, 'Bleu_3': 0.8231542033591267, 'Bleu_4': 0.778658861632451, 'METEOR': 0.5551629272999146, 'ROUGE_L': 0.8864244741873806, 'CIDEr': 3.8405097202146714}","andrew rayel, whose musical genre is trance, is associated with the following musical artists: armin van buuren, bobina, mark sixma, jonathan mendelsohn, christian burns, jwaydan, alexander popov, jano, alexandre bergheau, jonny rose, sylvia tosun, lira yin and alexandra badoi. trance music has its stylistic origins in pop music",0.997483981,,0.659777343,-0.996540546,0.9652567,0.61805119,0.52582952,"{'image_id': 'inst-1454', 'Bleu_1': 0.812499999983073, 'Bleu_2': 0.7437684379821501, 'Bleu_3': 0.6787299321438313, 'Bleu_4': 0.6180511897943767, 'METEOR': 0.5258295196506794, 'ROUGE_L': 0.8549242424242425, 'CIDEr': 2.782040773322028}",-0.000841188,-0.067488893,-0.066647704,-0.08749342,-0.256615639,-0.014824867,-0.160607672,-0.029333408
"{'predicate: manager, subject: peñarol, object: jorge orosmán da silva, sentence: ', 'predicate: youthclub, subject: abel hernández, object: peñarol, sentence: ', 'predicate: league, subject: peñarol, object: uruguayan primera división, sentence: ', 'predicate: club, subject: abel hernández, object: hull city a.f.c., sentence: '}",4,Abel Hernández played for Peñarol in the Uruguayan Primera División in his youth. That team's manager is Jorge Orosmán da Silva. Abel Hernandez now plays for Hull City AFC.,0.832546436,"['predicate: youthclub, subject: abel hernández, object: peñarol, sentence: abel hernandez, who plays for hull city afc, also plays in the uruguayan primera division for penarol youth club managed by jorge orosman da silva.', 'predicate: youthclub, subject: abel hernández, object: peñarol, sentence: abel hernández, whose club is hull city a.f.c., used to be a member of youth club peñarol. jorge orosmán da silva is the manager of peñarol which plays in the uruguayan primera división league.']",abel hernández played youth football for pearol who are managed by jorge orosmán da silva and play in the uruguayan primera división. he now plays for hull city afc,0.250256517,"['predicate: manager, subject: peñarol, object: jorge orosmán da silva, sentence: abel hernández played youth football for pearol who are managed by jorge orosmán da silva and play in the uruguayan primera división. he now plays for hull city afc', 'predicate: youthclub, subject: abel hernández, object: peñarol, sentence: abel hernández played youth football for pearol who are managed by jorge orosmán da silva and play in the uruguayan primera división. he now plays for hull city afc', 'predicate: league, subject: peñarol, object: uruguayan primera división, sentence: abel hernández played youth football for pearol who are managed by jorge orosmán da silva and play in the uruguayan primera división. he now plays for hull city afc']",0.651907921,-2.022578478,0.93672574,0.438933756,0.379512482,"{'image_id': 'inst-1264', 'Bleu_1': 0.7662212040881474, 'Bleu_2': 0.6503845603779154, 'Bleu_3': 0.550129032482592, 'Bleu_4': 0.43893375604293383, 'METEOR': 0.37951248245007424, 'ROUGE_L': 0.5069252077562326, 'CIDEr': 2.9636039581553852}",abel hernández played youth football for penarol who are managed by jorge orosmán da silva and play in the uruguayan primera división. he later played for hull city afc,0.77151343,"['predicate: youthclub, subject: abel hernández, object: peñarol, sentence: abel hernández played youth football for penarol who are managed by jorge orosmán da silva and play in the uruguayan primera división. he later played for hull city afc']",0.659988523,-1.947878957,0.9427809,0.373045954,0.385082187,"{'image_id': 'inst-1264', 'Bleu_1': 0.7329072386930107, 'Bleu_2': 0.6360886484676224, 'Bleu_3': 0.5069667244627846, 'Bleu_4': 0.3730459538618416, 'METEOR': 0.3850821869264666, 'ROUGE_L': 0.4393351800554017, 'CIDEr': 2.7693657096492563}",0.521256914,0.582289919,0.061033005,0.008080602,0.074699521,0.006055176,-0.065887802,0.005569704
"{'predicate: capital, subject: united states, object: washington, d.c., sentence: ', 'predicate: ethnic group, subject: united states, object: asian americans, sentence: ', 'predicate: country, subject: 1634: the ram rebellion, object: united states, sentence: '}",3,Washington D. C. is the capital of the United States which includes many Asian Americans. 1634 The Ram Rebellion comes from the country.,0.99993009,,1634 the ram rebellion comes from the united states where the capital is washington dc and the asian americans are an ethnic group,0.999919653,,0.660563052,-2.206290007,0.92364764,0.560666841,0.360332716,"{'image_id': 'inst-1178', 'Bleu_1': 0.8695652173156899, 'Bleu_2': 0.7699905034413015, 'Bleu_3': 0.6560201024410545, 'Bleu_4': 0.5606668410690169, 'METEOR': 0.3603327156737321, 'ROUGE_L': 0.5897280966767371, 'CIDEr': 2.606250713393188}",1634 the ram rebellion comes from the united states where the capital is washington dc and the asian americans are an ethnic group,0.999919653,,0.660563052,-2.206290007,0.92364764,0.560666841,0.360332716,"{'image_id': 'inst-1178', 'Bleu_1': 0.8695652173156899, 'Bleu_2': 0.7699905034413015, 'Bleu_3': 0.6560201024410545, 'Bleu_4': 0.5606668410690169, 'METEOR': 0.3603327156737321, 'ROUGE_L': 0.5897280966767371, 'CIDEr': 2.606250713393188}",0,1.04E-05,1.04E-05,0,0,0,0,0
